Filename,P1X,P1Y,P2X,P2Y,P3X,P3Y,P4X,P4Y,Current EPSG,Original EPSG
D:\MacConnell\Photos_Satellite\18TXM315605\18TXM315605.jp2,41980.51941,872342.8814,43540.97329,873780.3598,42042.00763,873841.8512,43479.48604,872281.3973,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315620\18TXM315620.jp2,42042.00763,873841.8512,43602.46787,875279.3214,42103.50309,875340.82,43540.97329,873780.3598,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315635\18TXM315635.jp2,42103.50309,875340.82,43663.96978,876778.2821,42165.00579,876839.788,43602.46787,875279.3214,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315650\18TXM315650.jp2,42165.00579,876839.788,43725.47901,878277.2421,42226.51575,878338.7553,43663.96978,876778.2821,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315665\18TXM315665.jp2,42226.51575,878338.7553,43786.99559,879776.2014,42288.03296,879837.7219,43725.47901,878277.2421,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315680\18TXM315680.jp2,42288.03296,879837.7219,43848.51951,881275.16,42349.55743,881336.6879,43786.99559,879776.2014,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315695\18TXM315695.jp2,42349.55743,881336.6879,43910.05078,882774.1182,42411.08916,882835.6534,43848.51951,881275.16,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315710\18TXM315710.jp2,42411.08916,882835.6534,43971.5894,884273.076,42472.62817,884334.6185,43910.05078,882774.1182,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315725\18TXM315725.jp2,42472.62817,884334.6185,44033.13538,885772.0334,42534.17445,885833.5832,43971.5894,884273.076,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315740\18TXM315740.jp2,42534.17445,885833.5832,44094.68873,887270.9905,42595.72801,887332.5477,44033.13538,885772.0334,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315755\18TXM315755.jp2,42595.72801,887332.5477,44156.24944,888769.9475,42657.28886,888831.5119,44094.68873,887270.9905,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315770\18TXM315770.jp2,42657.28886,888831.5119,44217.81752,890268.9044,42718.857,890330.4761,44156.24944,888769.9475,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315785\18TXM315785.jp2,42718.857,890330.4761,44279.39298,891767.8612,42780.43243,891829.4403,44217.81752,890268.9044,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315800\18TXM315800.jp2,42780.43243,891829.4403,44340.97583,893266.8181,42842.01516,893328.4046,44279.39298,891767.8612,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315815\18TXM315815.jp2,42842.01516,893328.4046,44402.56606,894765.7752,42903.6052,894827.369,44340.97583,893266.8181,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315830\18TXM315830.jp2,42903.6052,894827.369,44464.16368,896264.7325,42965.20255,896326.3337,44402.56606,894765.7752,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315845\18TXM315845.jp2,42965.20255,896326.3337,44525.76871,897763.6902,43026.80721,897825.2987,44464.16368,896264.7325,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315860\18TXM315860.jp2,43026.80721,897825.2987,44587.38113,899262.6482,43088.41919,899324.2641,44525.76871,897763.6902,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315875\18TXM315875.jp2,43088.41919,899324.2641,44649.00097,900761.6067,43150.03849,900823.2299,44587.38113,899262.6482,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315890\18TXM315890.jp2,43150.03849,900823.2299,44710.62821,902260.5658,43211.66513,902322.1964,44649.00097,900761.6067,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315905\18TXM315905.jp2,43211.66513,902322.1964,44772.26288,903759.5255,43273.2991,903821.1635,44710.62821,902260.5658,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315920\18TXM315920.jp2,43273.2991,903821.1635,44833.90496,905258.4859,43334.94041,905320.1313,44772.26288,903759.5255,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315935\18TXM315935.jp2,43334.94041,905320.1313,44895.55448,906757.4472,43396.58906,906819.1,44833.90496,905258.4859,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315950\18TXM315950.jp2,43396.58906,906819.1,44957.21142,908256.4094,43458.24507,908318.0696,44895.55448,906757.4472,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315965\18TXM315965.jp2,43458.24507,908318.0696,45018.87581,909755.3726,43519.90842,909817.0401,44957.21142,908256.4094,26986,6347
D:\MacConnell\Photos_Satellite\18TXM315980\18TXM315980.jp2,43519.90842,909817.0401,45080.54763,911254.3368,43581.57914,911316.0117,45018.87581,909755.3726,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330560\18TXM330560.jp2,43295.06817,867784.5035,44855.49498,869222.0008,43356.53348,869283.4692,44794.03088,867723.0424,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330575\18TXM330575.jp2,43356.53348,869283.4692,44916.96647,870720.9581,43418.0061,870782.4338,44855.49498,869222.0008,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330590\18TXM330590.jp2,43418.0061,870782.4338,44978.44535,872219.9142,43479.48604,872281.3973,44916.96647,870720.9581,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330605\18TXM330605.jp2,43479.48604,872281.3973,45039.93163,873718.8694,43540.97329,873780.3598,44978.44535,872219.9142,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330620\18TXM330620.jp2,43540.97329,873780.3598,45101.42532,875217.8236,43602.46787,875279.3214,45039.93163,873718.8694,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330635\18TXM330635.jp2,43602.46787,875279.3214,45162.92643,876716.7769,43663.96978,876778.2821,45101.42532,875217.8236,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330650\18TXM330650.jp2,43663.96978,876778.2821,45224.43494,878215.7295,43725.47901,878277.2421,45162.92643,876716.7769,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330665\18TXM330665.jp2,43725.47901,878277.2421,45285.95088,879714.6814,43786.99559,879776.2014,45224.43494,878215.7295,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330680\18TXM330680.jp2,43786.99559,879776.2014,45347.47425,881213.6327,43848.51951,881275.16,45285.95088,879714.6814,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330695\18TXM330695.jp2,43848.51951,881275.16,45409.00505,882712.5835,43910.05078,882774.1182,45347.47425,881213.6327,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330710\18TXM330710.jp2,43910.05078,882774.1182,45470.54328,884211.5339,43971.5894,884273.076,45409.00505,882712.5835,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330725\18TXM330725.jp2,43971.5894,884273.076,45532.08895,885710.4839,44033.13538,885772.0334,45470.54328,884211.5339,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330740\18TXM330740.jp2,44033.13538,885772.0334,45593.64207,887209.4336,44094.68873,887270.9905,45532.08895,885710.4839,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330755\18TXM330755.jp2,44094.68873,887270.9905,45655.20264,888708.3832,44156.24944,888769.9475,45593.64207,887209.4336,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330770\18TXM330770.jp2,44156.24944,888769.9475,45716.77066,890207.3326,44217.81752,890268.9044,45655.20264,888708.3832,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330785\18TXM330785.jp2,44217.81752,890268.9044,45778.34615,891706.282,44279.39298,891767.8612,45716.77066,890207.3326,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330800\18TXM330800.jp2,44279.39298,891767.8612,45839.9291,893205.2315,44340.97583,893266.8181,45778.34615,891706.282,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330815\18TXM330815.jp2,44340.97583,893266.8181,45901.51953,894704.1812,44402.56606,894765.7752,45839.9291,893205.2315,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330830\18TXM330830.jp2,44402.56606,894765.7752,45963.11742,896203.131,44464.16368,896264.7325,45901.51953,894704.1812,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330845\18TXM330845.jp2,44464.16368,896264.7325,46024.7228,897702.0812,44525.76871,897763.6902,45963.11742,896203.131,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330860\18TXM330860.jp2,44525.76871,897763.6902,46086.33567,899201.0318,44587.38113,899262.6482,46024.7228,897702.0812,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330875\18TXM330875.jp2,44587.38113,899262.6482,46147.95602,900699.9829,44649.00097,900761.6067,46086.33567,899201.0318,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330890\18TXM330890.jp2,44649.00097,900761.6067,46209.58388,902198.9345,44710.62821,902260.5658,46147.95602,900699.9829,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330905\18TXM330905.jp2,44710.62821,902260.5658,46271.21923,903697.8868,44772.26288,903759.5255,46209.58388,902198.9345,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330920\18TXM330920.jp2,44772.26288,903759.5255,46332.86209,905196.8397,44833.90496,905258.4859,46271.21923,903697.8868,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330935\18TXM330935.jp2,44833.90496,905258.4859,46394.51246,906695.7935,44895.55448,906757.4472,46332.86209,905196.8397,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330950\18TXM330950.jp2,44895.55448,906757.4472,46456.17034,908194.7482,44957.21142,908256.4094,46394.51246,906695.7935,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330965\18TXM330965.jp2,44957.21142,908256.4094,46517.83575,909693.7039,45018.87581,909755.3726,46456.17034,908194.7482,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330980\18TXM330980.jp2,45018.87581,909755.3726,46579.50868,911192.6607,45080.54763,911254.3368,46517.83575,909693.7039,26986,6347
D:\MacConnell\Photos_Satellite\18TXM330995\18TXM330995.jp2,45080.54763,911254.3368,46641.18914,912691.6185,45142.22691,912753.3021,46579.50868,911192.6607,26986,6347
D:\MacConnell\Photos_Satellite\18TXM345560\18TXM345560.jp2,44794.03088,867723.0424,46354.44908,869160.5336,44855.49498,869222.0008,46292.98621,867661.5827,26986,6347
D:\MacConnell\Photos_Satellite\18TXM345575\18TXM345575.jp2,44855.49498,869222.0008,46415.91943,870659.4834,44916.96647,870720.9581,46354.44908,869160.5336,26986,6347
D:\MacConnell\Photos_Satellite\18TXM345590\18TXM345590.jp2,44916.96647,870720.9581,46477.39726,872158.4321,44978.44535,872219.9142,46415.91943,870659.4834,26986,6347
D:\MacConnell\Photos_Satellite\18TXM345605\18TXM345605.jp2,44978.44535,872219.9142,46538.88257,873657.3798,45039.93163,873718.8694,46477.39726,872158.4321,26986,6347
D:\MacConnell\Photos_Satellite\18TXM345620\18TXM345620.jp2,45039.93163,873718.8694,46600.37537,875156.3266,45101.42532,875217.8236,46538.88257,873657.3798,26986,6347
