Source,Target,PtDistance,GCPDistance,Difference,Source Annotated,Target Annotated
mufs190-1951-dpn1k60-i001.reference.tif,mufs190-1951-dpn1k61-i001.reference.tif,1581.565201,9.691505389,-1,0,2
mufs190-1952-cni5h36-i001.reference.tif,mufs190-1952-cni5h38-i001.reference.tif,3196.566617,9.724054133,-1,0,0
mufs190-1952-cni6h80-i001.reference.tif,mufs190-1952-cni6h79-i001.reference.tif,1731.205683,9.783230373,-1,2,0
mufs190-1951-dpn1k50-i001.reference.tif,mufs190-1951-dpn1k51-i001.reference.tif,1542.395593,9.784980366,-1,2,0
mufs190-1951-dpn1k61-i001.reference.tif,mufs190-1951-dpn1k111-i001.reference.tif,3517.199211,9.788848219,-1,2,2
mufs190-1952-dpb5h41-i001.reference.tif,mufs190-1952-dpb5h40-i001.reference.tif,1932.164616,9.811872197,-1,0,0
mufs190-1952-cni6h95-i001.reference.tif,mufs190-1952-cni6h79-i001.reference.tif,3003.002104,9.840003673,18.46358322,0,0
mufs190-1951-dpn1k30-i001.reference.tif,mufs190-1951-dpn1k29-i001.reference.tif,1953.407697,9.886309698,14.28631567,0,2
mufs190-1951-dpn1k35-i001.reference.tif,mufs190-1951-dpn1k62-i001.reference.tif,3769.429078,9.904891907,10.21016396,0,0
mufs190-1952-dpb4h158-i001.reference.tif,mufs190-1952-dpb4h157-i001.reference.tif,1394.747184,9.936856204,14.03742088,2,2
mufs190-1951-dpn1k35-i001.reference.tif,mufs190-1951-dpn1k31-i001.reference.tif,3316.881918,9.999616528,0.117757887,0,0
mufs190-1952-cni8h7-i001.reference.tif,mufs190-1952-cni8h8-i001.reference.tif,2096.069705,10.00862689,-1,2,0
mufs190-1951-dpn1k31-i001.reference.tif,mufs190-1951-dpn1k35-i001.reference.tif,3316.881918,10.01140575,-1,0,0
mufs190-1952-cni5h155-i001.reference.tif,mufs190-1952-cni5h156-i001.reference.tif,1884.375238,10.07632328,1.562436815,0,2
mufs190-1951-dpn1k107-i001.reference.tif,mufs190-1951-dpn1k108-i001.reference.tif,1750.022722,10.11344753,2.667804633,2,0
mufs190-1951-dpn1k50-i001.reference.tif,mufs190-1951-dpn1k18-i001.reference.tif,3255.711277,10.19997349,4.987803939,2,0
mufs190-1951-dpl2k3-i001.reference.tif,mufs190-1951-dpl2k4-i001.reference.tif,1632.037676,10.20649058,99.73980547,0,2
mufs190-1952-cni5h156-i001.reference.tif,mufs190-1952-cni5h155-i001.reference.tif,1884.375238,10.23625835,-1,2,0
mufs190-1952-cni5h104-i001.reference.tif,mufs190-1952-cni5h150-i001.reference.tif,3450.671224,10.28753158,2.669760851,0,2
mufs190-1951-dpn1k103-i001.reference.tif,mufs190-1951-dpn1k104-i001.reference.tif,1415.014713,10.30436222,-1,2,0
mufs190-1951-dpn1k108-i001.reference.tif,mufs190-1951-dpn1k107-i001.reference.tif,1750.022722,10.39064977,-1,0,2
mufs190-1952-cni5h158-i001.reference.tif,mufs190-1952-cni5h157-i001.reference.tif,1653.225804,10.39766604,-1,2,0
mufs190-1951-dpn1k39-i001.reference.tif,mufs190-1951-dpn1k27-i001.reference.tif,3660.188691,10.43633051,0.650079421,0,2
mufs190-1952-dpb4h113-i001.reference.tif,mufs190-1952-dpb4h112-i001.reference.tif,1448.471383,10.4440257,-1,2,0
mufs190-1951-dpn1k39-i001.reference.tif,mufs190-1951-dpn1k38-i001.reference.tif,1607.381878,10.49526044,-1,0,2
mufs190-1951-dpn1k27-i001.reference.tif,mufs190-1951-dpn1k39-i001.reference.tif,3660.188691,10.50461888,-1,2,0
mufs190-1951-dpn1k109-i001.reference.tif,mufs190-1951-dpn1k111-i001.reference.tif,3739.157354,10.54798937,2.8310548,2,2
mufs190-1952-cni5h150-i001.reference.tif,mufs190-1952-cni5h104-i001.reference.tif,3450.671224,10.56971777,-1,2,0
mufs190-1952-cni6h98-i001.reference.tif,mufs190-1952-cni6h77-i001.reference.tif,3235.112792,10.59693097,-1,2,0
mufs190-1951-dpn1k46-i001.reference.tif,mufs190-1951-dpn1k45-i001.reference.tif,1493.814148,10.62017958,-1,2,0
mufs190-1952-dpb3h160-i001.reference.tif,mufs190-1952-dpb3h159-i001.reference.tif,1931.92806,10.66399904,3.685585064,0,2
mufs190-1951-dpn1k106-i001.reference.tif,mufs190-1951-dpn1k107-i001.reference.tif,1391.854701,10.6667499,3.545716928,0,2
mufs190-1952-cni6h80-i001.reference.tif,mufs190-1952-cni6h78-i001.reference.tif,3135.424517,10.6875232,-1,2,2
mufs190-1951-dpl2k15-i001.reference.tif,mufs190-1951-dpl2k16-i001.reference.tif,1905.705909,10.69662685,-1,2,0
mufs190-1951-dpn1k18-i001.reference.tif,mufs190-1951-dpn1k50-i001.reference.tif,3255.711277,10.73543599,-1,0,2
mufs190-1951-dpn1k25-i001.reference.tif,mufs190-1951-dpn1k42-i001.reference.tif,3360.856239,10.74616816,2.097001903,2,2
mufs190-1952-cni6h82-i001.reference.tif,mufs190-1952-cni6h81-i001.reference.tif,1716.64924,10.77851772,2.878588718,2,0
mufs190-1952-cni4h145-i001.reference.tif,mufs190-1952-cni4h144-i001.reference.tif,1651.464465,10.82072613,2.037816975,2,0
mufs190-1951-dpn1k23-i001.reference.tif,mufs190-1951-dpn1k24-i001.reference.tif,1713.989395,10.82209215,7.969201795,2,0
mufs190-1952-cni6h78-i001.reference.tif,mufs190-1952-cni6h95-i001.reference.tif,3317.443815,10.82904844,-1,2,0
mufs190-1951-dpn1k111-i001.reference.tif,mufs190-1951-dpn1k109-i001.reference.tif,3739.157354,10.85530912,-1,2,2
mufs190-1952-cni8h4-i001.reference.tif,mufs190-1952-cni8h5-i001.reference.tif,1538.682602,10.87621207,-1,0,2
mufs190-1952-cni5h34-i001.reference.tif,mufs190-1952-cni5h36-i001.reference.tif,3241.110508,10.87912074,0.478232758,0,0
mufs190-1952-cni5h105-i001.reference.tif,mufs190-1952-cni5h104-i001.reference.tif,1559.199972,10.90151697,1.816714443,2,0
mufs190-1952-cni6h101-i001.reference.tif,mufs190-1952-cni6h73-i001.reference.tif,3174.388746,10.91265322,11.454587,0,0
mufs190-1952-cni5h36-i001.reference.tif,mufs190-1952-cni5h34-i001.reference.tif,3241.110508,10.93139827,-1,0,0
mufs190-1952-cni5h157-i001.reference.tif,mufs190-1952-cni5h155-i001.reference.tif,3199.710952,10.93159242,10.17018279,0,0
mufs190-1951-dpn1k42-i001.reference.tif,mufs190-1951-dpn1k25-i001.reference.tif,3360.856239,10.97634226,-1,2,2
mufs190-1951-dpn1k62-i001.reference.tif,mufs190-1951-dpn1k35-i001.reference.tif,3769.429078,11.031195,-1,0,0
mufs190-1952-cni4h144-i001.reference.tif,mufs190-1952-cni4h145-i001.reference.tif,1651.464465,11.04581972,-1,0,2
mufs190-1952-dpb4h148-i001.reference.tif,mufs190-1952-dpb4h149-i001.reference.tif,1538.788023,11.05849255,18.21310724,0,2
mufs190-1951-dpn1k107-i001.reference.tif,mufs190-1951-dpn1k106-i001.reference.tif,1391.854701,11.05886598,-1,2,0
mufs190-1952-dpb3h159-i001.reference.tif,mufs190-1952-dpb3h160-i001.reference.tif,1931.92806,11.07206959,-1,2,0
mufs190-1952-cni6h81-i001.reference.tif,mufs190-1952-cni6h82-i001.reference.tif,1716.64924,11.097983,-1,0,2
mufs190-1952-cni5h104-i001.reference.tif,mufs190-1952-cni5h105-i001.reference.tif,1559.199972,11.10323097,-1,0,2
mufs190-1952-cni5h149-i001.reference.tif,mufs190-1952-cni5h150-i001.reference.tif,1392.071988,11.14879666,20.45212132,0,2
mufs190-1952-cni5h158-i001.reference.tif,mufs190-1952-cni5h156-i001.reference.tif,2965.324279,11.17981698,-1,2,2
mufs190-1951-dpn1k51-i001.reference.tif,mufs190-1951-dpn1k18-i001.reference.tif,3866.601909,11.20055768,1.467973697,0,0
mufs190-1951-dpn1k112-i001.reference.tif,mufs190-1951-dpn1k61-i001.reference.tif,3511.456427,11.2272184,15.18886929,0,2
mufs190-1952-cni6h73-i001.reference.tif,mufs190-1952-cni6h102-i001.reference.tif,3125.769598,11.31556262,9.819535369,0,0
mufs190-1951-dpn1k29-i001.reference.tif,mufs190-1951-dpn1k39-i001.reference.tif,3880.283605,11.31802309,3.700448175,2,0
mufs190-1951-dpn1k35-i001.reference.tif,mufs190-1951-dpn1k61-i001.reference.tif,2952.006427,11.34997011,1.59079895,0,2
mufs190-1952-cni6h101-i001.reference.tif,mufs190-1952-cni6h74-i001.reference.tif,3310.103931,11.3582737,0.583838407,0,2
mufs190-1951-dpn1k18-i001.reference.tif,mufs190-1951-dpn1k51-i001.reference.tif,3866.601909,11.36742854,-1,0,0
mufs190-1952-cxi6h35-i001.reference.tif,mufs190-1952-cxi6h36-i001.reference.tif,1502.981651,11.41281021,38.95540595,0,2
mufs190-1952-cni6h74-i001.reference.tif,mufs190-1952-cni6h101-i001.reference.tif,3310.103931,11.4249771,-1,2,0
mufs190-1951-dpn1k44-i001.reference.tif,mufs190-1951-dpn1k46-i001.reference.tif,3345.569223,11.50480595,12.84563892,2,2
mufs190-1951-dpn1k61-i001.reference.tif,mufs190-1951-dpn1k35-i001.reference.tif,2952.006427,11.53344402,-1,2,0
mufs190-1951-dpn1k29-i001.reference.tif,mufs190-1951-dpn1k30-i001.reference.tif,1953.407697,11.53410891,-1,2,0
mufs190-1952-dpb4h157-i001.reference.tif,mufs190-1952-dpb4h158-i001.reference.tif,1394.747184,11.55951381,-1,2,2
mufs190-1951-dpl2k8-i001.reference.tif,mufs190-1951-dpl2k9-i001.reference.tif,1877.144168,11.598619,-1,2,0
mufs190-1951-cni1h6-i001.reference.tif,mufs190-1952-cni3h147-i001.reference.tif,3174.590822,11.65729028,22.69802739,0,-1
mufs190-1951-dpn1k109-i001.reference.tif,mufs190-1951-dpn1k107-i001.reference.tif,3457.552346,11.67879279,1.691567319,2,2
mufs190-1952-dpl3k22-i001.reference.tif,mufs190-1952-dpl3k24-i001.reference.tif,3487.346933,11.69043742,18.32870374,-1,-1
mufs190-1951-dpn1k39-i001.reference.tif,mufs190-1951-dpn1k29-i001.reference.tif,3880.283605,11.75293433,-1,0,2
mufs190-1951-dpn1k24-i001.reference.tif,mufs190-1951-dpn1k23-i001.reference.tif,1713.989395,11.75920709,-1,0,2
mufs190-1952-cni4h120-i001.reference.tif,mufs190-1952-cni4h145-i001.reference.tif,3331.104019,11.77192503,16.96307056,0,2
mufs190-1952-cni6h97-i001.reference.tif,mufs190-1952-cni6h96-i001.reference.tif,1295.198254,11.86726326,4.913780382,0,2
mufs190-1951-dpn1k107-i001.reference.tif,mufs190-1951-dpn1k109-i001.reference.tif,3457.552346,11.87974671,-1,2,2
mufs190-1952-cni5h37-i001.reference.tif,mufs190-1952-cni6h127-i001.reference.tif,3408.806411,11.88397196,9.664239266,0,0
mufs190-1951-dpn1k108-i001.reference.tif,mufs190-1951-dpn1k109-i001.reference.tif,1710.061445,11.92484426,13.14168675,0,2
mufs190-1952-cni5h39-i001.reference.tif,mufs190-1952-dpb5h41-i001.reference.tif,3631.339729,11.94995545,17.55083554,0,0
mufs190-1952-cni5h154-i001.reference.tif,mufs190-1952-cni5h155-i001.reference.tif,1758.043462,11.98475734,21.23328538,2,0
mufs190-1952-cni6h72-i001.reference.tif,mufs190-1952-cni4h146-i001.reference.tif,3931.172911,12.00354134,-1,0,0
mufs190-1951-dpn1k112-i001.reference.tif,mufs190-1951-dpn1k113-i001.reference.tif,2008.741756,12.02021956,2.486962346,0,2
mufs190-1952-cni6h79-i001.reference.tif,mufs190-1952-cni6h95-i001.reference.tif,3003.002104,12.06823167,-1,0,0
mufs190-1951-dpn1k45-i001.reference.tif,mufs190-1951-dpn1k44-i001.reference.tif,1860.919383,12.08567878,21.77800526,0,2
mufs190-1952-cni6h76-i001.reference.tif,mufs190-1952-cni6h75-i001.reference.tif,1950.279703,12.09792516,4.676185019,2,0
mufs190-1951-dpn1k38-i001.reference.tif,mufs190-1951-dpn1k30-i001.reference.tif,3872.747659,12.1225984,14.34814235,2,0
mufs190-1952-cni6h76-i001.reference.tif,mufs190-1952-cni6h78-i001.reference.tif,3454.446546,12.12886404,-1,2,2
mufs190-1951-dpl2k17-i001.reference.tif,mufs190-1951-dpl2k9-i001.reference.tif,3401.592873,12.15970656,0.52988891,2,0
mufs190-1952-cni5h155-i001.reference.tif,mufs190-1952-cni5h157-i001.reference.tif,3199.710952,12.16922482,-1,0,0
mufs190-1952-cni6h73-i001.reference.tif,mufs190-1952-cni6h74-i001.reference.tif,1764.684837,12.20185859,19.00144181,0,2
mufs190-1951-dpl2k7-i001.reference.tif,mufs190-1951-dpl2k8-i001.reference.tif,2237.753283,12.22026169,13.27048754,0,2
mufs190-1951-dpl2k9-i001.reference.tif,mufs190-1951-dpl2k17-i001.reference.tif,3401.592873,12.22448274,-1,0,2
mufs190-1952-cni6h98-i001.reference.tif,mufs190-1952-cni6h99-i001.reference.tif,1525.002856,12.26385004,4.394156797,2,0
mufs190-1952-cni6h73-i001.reference.tif,mufs190-1952-cni6h101-i001.reference.tif,3174.388746,12.32435747,-1,0,0
mufs190-1951-dpn1k113-i001.reference.tif,mufs190-1951-dpn1k112-i001.reference.tif,2008.741756,12.32678198,-1,2,0
mufs190-1952-dpb4h114-i001.reference.tif,mufs190-1952-dpb4h113-i001.reference.tif,2225.100145,12.41267744,5.88369337,0,2
mufs190-1952-cni3h148-i001.reference.tif,mufs190-1952-cni3h149-i001.reference.tif,1997.491125,12.441074,5.634727885,0,2
mufs190-1952-dpb4h115-i001.reference.tif,mufs190-1952-dpb4h114-i001.reference.tif,2185.276624,12.44797052,1.558827528,2,0
mufs190-1952-cni5h37-i001.reference.tif,mufs190-1952-cni6h126-i001.reference.tif,3270.954573,12.46758136,12.79965517,0,2
mufs190-1952-cni6h96-i001.reference.tif,mufs190-1952-cni6h97-i001.reference.tif,1295.198254,12.48052905,-1,2,0
mufs190-1952-cni6h136-i001.reference.tif,mufs190-1952-cni5h28-i001.reference.tif,3142.830179,12.49466967,0.833635415,2,0
mufs190-1952-dpb4h116-i001.reference.tif,mufs190-1952-cni4h117-i001.reference.tif,1905.541561,12.51878392,9.542571219,0,2
mufs190-1952-cni3h85-i001.reference.tif,mufs190-1952-cni3h84-i001.reference.tif,2569.99315,12.54766736,6.313820583,0,2
mufs190-1952-cni6h102-i001.reference.tif,mufs190-1952-cni6h73-i001.reference.tif,3125.769598,12.5476872,-1,0,0
mufs190-1952-cni6h80-i001.reference.tif,mufs190-1952-cni6h82-i001.reference.tif,3104.617634,12.56412983,2.397196521,2,2
mufs190-1952-cni5h35-i001.reference.tif,mufs190-1952-cni5h36-i001.reference.tif,1525.379406,12.57697094,1.060422777,2,0
mufs190-1952-cni5h28-i001.reference.tif,mufs190-1952-cni6h136-i001.reference.tif,3142.830179,12.59970528,-1,0,2
mufs190-1951-dpl2k20-i001.reference.tif,mufs190-1951-dpl2k7-i001.reference.tif,3453.592009,12.60402137,7.292186136,0,0
mufs190-1952-cni6h99-i001.reference.tif,mufs190-1952-cni6h101-i001.reference.tif,3482.352218,12.63244397,7.294485865,0,0
mufs190-1952-dpb4h114-i001.reference.tif,mufs190-1952-dpb4h115-i001.reference.tif,2185.276624,12.6450856,-1,0,2
mufs190-1952-cni6h75-i001.reference.tif,mufs190-1952-cni6h76-i001.reference.tif,1950.279703,12.69139844,-1,0,2
mufs190-1952-cni6h80-i001.reference.tif,mufs190-1952-cni6h81-i001.reference.tif,1392.069382,12.7001899,17.04307435,2,0
mufs190-1952-cni7h86-i001.reference.tif,mufs190-1952-cni8h2-i001.reference.tif,3078.746399,12.70117734,17.3242614,2,0
mufs190-1952-cni5h36-i001.reference.tif,mufs190-1952-cni5h35-i001.reference.tif,1525.379406,12.71176943,-1,0,2
