Center,Tile1,Distance1,Tile2,Distance2,Tile3,Distance3,Tile4,Distance4,Tile5,Distance5,Tile6,Distance6,Tile7,Distance7,Tile8,Distance8
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h140-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h139-i001.reference.tif,1674.764951684789,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h24-i001.reference.tif,2893.095871297301,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h138-i001.reference.tif,3407.430847655899,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h14-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h15-i001.reference.tif,1320.7205787198077,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h13-i001.reference.tif,1820.5243298195076,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h16-i001.reference.tif,2533.913765375859,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h154-i001.reference.tif,3208.179657256167,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb3h155-i001.reference.tif,3373.7691714260195,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h119-i001.reference.tif,3824.0148410556503,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h118-i001.reference.tif,3853.928775101566,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h15-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h16-i001.reference.tif,1213.211210418644,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h14-i001.reference.tif,1320.7205787198077,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h17-i001.reference.tif,3096.3152087500525,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h13-i001.reference.tif,3135.357134853951,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb3h155-i001.reference.tif,3380.4793584619288,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h118-i001.reference.tif,3539.4346621894783,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb3h156-i001.reference.tif,3691.0985799361492,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h154-i001.reference.tif,3762.8189349595914
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h16-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h15-i001.reference.tif,1213.211210418644,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h17-i001.reference.tif,1910.4730663412722,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h14-i001.reference.tif,2533.913765375859,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h117-i001.reference.tif,3468.1420730253503,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb3h156-i001.reference.tif,3474.3995850966394,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h118-i001.reference.tif,3678.4002387109967,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb3h155-i001.reference.tif,3805.6204941171186,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h17-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h16-i001.reference.tif,1910.4730663412722,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h15-i001.reference.tif,3096.3152087500525,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb3h157-i001.reference.tif,3375.404705268287,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb3h156-i001.reference.tif,3469.0383702546515,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb3h158-i001.reference.tif,3653.7565935368184,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpb1h19-i001.reference.tif,3729.307063762808,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h116-i001.reference.tif,3828.3123964584966,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h117-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h118-i001.reference.tif,1736.2479275995922,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h116-i001.reference.tif,1905.541561138995,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h147-i001.reference.tif,2712.2812392068754,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h148-i001.reference.tif,2933.6959861307296,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h119-i001.reference.tif,3387.388787556176,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h115-i001.reference.tif,3390.032822209586,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h16-i001.reference.tif,3468.1420730253503,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h146-i001.reference.tif,3726.0158069350723
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h118-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h119-i001.reference.tif,1654.4505207470133,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h117-i001.reference.tif,1736.2479275995922,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h147-i001.reference.tif,2933.5152993561965,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h146-i001.reference.tif,2957.3793988214825,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h15-i001.reference.tif,3539.4346621894783,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h116-i001.reference.tif,3641.787355986039,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h16-i001.reference.tif,3678.4002387109967,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h145-i001.reference.tif,3806.6718299115137
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h119-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h118-i001.reference.tif,1654.4505207470133,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h120-i001.reference.tif,2185.2771409397797,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h146-i001.reference.tif,2936.5579272483174,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h145-i001.reference.tif,2950.200332278423,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h117-i001.reference.tif,3387.388787556176,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h144-i001.reference.tif,3592.6090510406398,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h121-i001.reference.tif,3687.4416349191138,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h147-i001.reference.tif,3822.4733944756927
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h120-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h121-i001.reference.tif,1505.154688737418,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h119-i001.reference.tif,2185.2771409397797,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h144-i001.reference.tif,2843.5412617888833,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h122-i001.reference.tif,3241.35856401805,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h145-i001.reference.tif,3331.104018983765,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h143-i001.reference.tif,3517.130745009861,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h13-i001.reference.tif,3724.2067209526244,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h12-i001.reference.tif,3797.912883721125
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h144-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h143-i001.reference.tif,1634.7869532158456,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h145-i001.reference.tif,1651.464464935093,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h120-i001.reference.tif,2843.5412617888833,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h121-i001.reference.tif,3101.5182830275107,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h75-i001.reference.tif,3129.5886045974544,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h76-i001.reference.tif,3165.5441684265315,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h146-i001.reference.tif,3353.9727639588796,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h119-i001.reference.tif,3592.6090510406398
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h145-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h144-i001.reference.tif,1651.464464935093,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h146-i001.reference.tif,1712.0451664830916,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h74-i001.reference.tif,2782.2069790329524,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h75-i001.reference.tif,2827.356639163262,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h119-i001.reference.tif,2950.200332278423,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h143-i001.reference.tif,3269.1014566619933,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h120-i001.reference.tif,3331.104018983765,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h147-i001.reference.tif,3564.208642510992
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h146-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h145-i001.reference.tif,1712.0451664830916,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h147-i001.reference.tif,1853.3066738538992,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h119-i001.reference.tif,2936.5579272483174,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h74-i001.reference.tif,2938.992512438342,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h73-i001.reference.tif,2939.888523167487,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h118-i001.reference.tif,2957.3793988214825,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h144-i001.reference.tif,3353.9727639588796,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h75-i001.reference.tif,3649.8048457236914
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h147-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h146-i001.reference.tif,1853.3066738538992,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h148-i001.reference.tif,2084.8086687722266,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h117-i001.reference.tif,2712.2812392068754,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h118-i001.reference.tif,2933.5152993561965,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h73-i001.reference.tif,3201.0371127600597,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h72-i001.reference.tif,3310.773021588208,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni4h145-i001.reference.tif,3564.208642510992,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-dpb4h116-i001.reference.tif,3598.2239886699576
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k62-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k61-i001.reference.tif,1686.5664135703498,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k36-i001.reference.tif,3238.271730474654,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k60-i001.reference.tif,3252.711614822126,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k111-i001.reference.tif,3396.5339535065646,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k110-i001.reference.tif,3505.622874490366,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k37-i001.reference.tif,3515.136274969072,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k35-i001.reference.tif,3769.429077729694,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k110-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k109-i001.reference.tif,1591.9196902811361,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k111-i001.reference.tif,2162.884993202529,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k108-i001.reference.tif,3288.7662296068984,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k62-i001.reference.tif,3505.622874490366,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k112-i001.reference.tif,3571.004849340596,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k111-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k112-i001.reference.tif,1408.222345371642,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k110-i001.reference.tif,2162.884993202529,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k62-i001.reference.tif,3396.5339535065646,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k113-i001.reference.tif,3411.2890679039874,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k61-i001.reference.tif,3517.1992105200047,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k109-i001.reference.tif,3739.157354459347,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k112-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k111-i001.reference.tif,1408.222345371642,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k113-i001.reference.tif,2008.7417563977826,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k60-i001.reference.tif,3425.5146444715842,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k61-i001.reference.tif,3511.4564273590404,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k110-i001.reference.tif,3571.004849340596,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h85-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h86-i001.reference.tif,1073.0868937714858,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h84-i001.reference.tif,2569.993150318863,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h87-i001.reference.tif,2833.1172175082365,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h105-i001.reference.tif,3930.1906967279147,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h86-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h85-i001.reference.tif,1073.0868937714858,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h87-i001.reference.tif,1778.5683860226907,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h88-i001.reference.tif,3486.3571863787397,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h84-i001.reference.tif,3599.025967944586,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h9-i001.reference.tif,3636.7418057369505,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h87-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h88-i001.reference.tif,1720.712368483844,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h86-i001.reference.tif,1778.5683860226907,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h85-i001.reference.tif,2833.1172175082365,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h89-i001.reference.tif,3348.9211010681734,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h8-i001.reference.tif,3532.8235309937468,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h9-i001.reference.tif,3578.143910506396,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h88-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h89-i001.reference.tif,1632.0885393238782,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h87-i001.reference.tif,1720.712368483844,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h90-i001.reference.tif,3366.216648019451,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h86-i001.reference.tif,3486.3571863787397,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h8-i001.reference.tif,3713.7949865649002,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h7-i001.reference.tif,3807.2697811810094,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h89-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h88-i001.reference.tif,1632.0885393238782,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h90-i001.reference.tif,1735.8558774404783,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h87-i001.reference.tif,3348.9211010681734,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h91-i001.reference.tif,3662.937575708978,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h7-i001.reference.tif,3767.272551668475,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h90-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h89-i001.reference.tif,1735.8558774404783,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h91-i001.reference.tif,1927.278509097517,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h88-i001.reference.tif,3366.216648019451,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h6-i001.reference.tif,3925.7142282668688,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h92-i001.reference.tif,3940.7719998599823,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h91-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h90-i001.reference.tif,1927.278509097517,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h92-i001.reference.tif,2013.6831832730566,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h89-i001.reference.tif,3662.937575708978,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h5-i001.reference.tif,3688.4530251556666,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h92-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h91-i001.reference.tif,2013.6831832730566,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h4-i001.reference.tif,3388.3436072663258,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h90-i001.reference.tif,3940.7719998599823,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h105-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h106-i001.reference.tif,1698.1523404649201,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h153-i001.reference.tif,2564.7398468795036,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h152-i001.reference.tif,2581.0959820152475,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h84-i001.reference.tif,2870.1229722766216,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h83-i001.reference.tif,3128.9032044844375,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h151-i001.reference.tif,3498.408439136813,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h107-i001.reference.tif,3767.8666879006482,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h154-i001.reference.tif,3895.778267877323
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h148-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h147-i001.reference.tif,1779.1957520087806,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h149-i001.reference.tif,1997.4911253921173,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h6-i001.reference.tif,2777.151751222168,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h7-i001.reference.tif,2994.0306289221444,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h5-i001.reference.tif,3257.2187955470645,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h146-i001.reference.tif,3839.7099189292535,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h150-i001.reference.tif,3862.2864689796456,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h149-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h150-i001.reference.tif,1884.971272404206,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h148-i001.reference.tif,1997.4911253921173,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h7-i001.reference.tif,3128.209360311728,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h8-i001.reference.tif,3268.9684509342524,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h151-i001.reference.tif,3649.6488860410773,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h6-i001.reference.tif,3751.9912899462165,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h147-i001.reference.tif,3768.1562245554605,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h150-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h151-i001.reference.tif,1785.35782468482,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h149-i001.reference.tif,1884.971272404206,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h8-i001.reference.tif,2945.255372261161,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h9-i001.reference.tif,3174.913489041757,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h11-i001.reference.tif,3508.2059148173716,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h152-i001.reference.tif,3806.4361427641443,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h148-i001.reference.tif,3862.2864689796456,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h7-i001.reference.tif,3947.0590249451543
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h151-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h150-i001.reference.tif,1785.35782468482,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h152-i001.reference.tif,2064.693217518866,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h11-i001.reference.tif,3188.4740019555575,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h153-i001.reference.tif,3410.3014220182936,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h9-i001.reference.tif,3440.893625409263,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h105-i001.reference.tif,3498.408439136813,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h149-i001.reference.tif,3649.6488860410773,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h8-i001.reference.tif,3935.179171162515
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h152-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h153-i001.reference.tif,1355.378310438686,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h151-i001.reference.tif,2064.693217518866,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h105-i001.reference.tif,2581.0959820152475,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h12-i001.reference.tif,3303.694844311081,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h106-i001.reference.tif,3323.6536162545935,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-cni1h11-i001.reference.tif,3418.1026116641183,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h154-i001.reference.tif,3598.5295754225626,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni3h150-i001.reference.tif,3806.4361427641443
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k27-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k26-i001.reference.tif,1852.0104975271875,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k28-i001.reference.tif,2042.0347487052006,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k40-i001.reference.tif,3095.7284356068308,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k29-i001.reference.tif,3437.374017443368,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k39-i001.reference.tif,3660.188690737749,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k41-i001.reference.tif,3669.9213700580067,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1951-dpn1k25-i001.reference.tif,3965.9856465140147,None,9223372036854775807
