MacFile,Tile1,Tile2,Tile3,Tile4,Tile5,Tile6,Tile7,Tile8,Tile9
mufs190-1951-dpn1k25-i001-001.tif,19TCG045440\19TCG045440.jp2,19TCG060440\19TCG060440.jp2,19TCG075440\19TCG075440.jp2,19TCG045425\19TCG045425.jp2,19TCG060425\19TCG060425.jp2,19TCG075425\19TCG075425.jp2,19TCG045410\19TCG045410.jp2,19TCG060410\19TCG060410.jp2,19TCG075410\19TCG075410.jp2
mufs190-1951-dpn1k26-i001-001.tif,19TCG045455\19TCG045455.jp2,19TCG060455\19TCG060455.jp2,19TCG075455\19TCG075455.jp2,19TCG045440\19TCG045440.jp2,19TCG060440\19TCG060440.jp2,19TCG075440\19TCG075440.jp2,19TCG045425\19TCG045425.jp2,19TCG060425\19TCG060425.jp2,19TCG075425\19TCG075425.jp2
mufs190-1951-dpn1k39-i001-001.tif,19TCG090485\19TCG090485.jp2,19TCG105485\19TCG105485.jp2,19TCG120485\19TCG120485.jp2,19TCG090470\19TCG090470.jp2,19TCG105470\19TCG105470.jp2,19TCG120470\19TCG120470.jp2,19TCG090455\19TCG090455.jp2,19TCG105455\19TCG105455.jp2,19TCG120455\19TCG120455.jp2
mufs190-1951-dpn1k40-i001-001.tif,19TCG075470\19TCG075470.jp2,19TCG090470\19TCG090470.jp2,19TCG105470\19TCG105470.jp2,19TCG075455\19TCG075455.jp2,19TCG090455\19TCG090455.jp2,19TCG105455\19TCG105455.jp2,19TCG075440\19TCG075440.jp2,19TCG090440\19TCG090440.jp2,19TCG105440\19TCG105440.jp2
mufs190-1951-dpn1k41-i001-001.tif,19TCG075455\19TCG075455.jp2,19TCG090455\19TCG090455.jp2,19TCG105455\19TCG105455.jp2,19TCG075440\19TCG075440.jp2,19TCG090440\19TCG090440.jp2,19TCG105440\19TCG105440.jp2,19TCG075425\19TCG075425.jp2,19TCG090425\19TCG090425.jp2,19TCG105425\19TCG105425.jp2
mufs190-1951-dpn1k42-i001-001.tif,19TCG090440\19TCG090440.jp2,19TCG105440\19TCG105440.jp2,19TCG120440\19TCG120440.jp2,19TCG075425\19TCG075425.jp2,19TCG090425\19TCG090425.jp2,19TCG105425\19TCG105425.jp2,19TCG075410\19TCG075410.jp2,19TCG090410\19TCG090410.jp2,19TCG105410\19TCG105410.jp2
mufs190-1951-dpl2k3-i001-001.tif,None,None,None,19TCG825215\19TCG825215.jp2,19TCG840215\19TCG840215.jp2,19TCG855215\19TCG855215.jp2,19TCG825200\19TCG825200.jp2,19TCG840200\19TCG840200.jp2,19TCG855200\19TCG855200.jp2
mufs190-1951-dpl2k4-i001-001.tif,19TCG825215\19TCG825215.jp2,19TCG840215\19TCG840215.jp2,19TCG855215\19TCG855215.jp2,19TCG825200\19TCG825200.jp2,19TCG840200\19TCG840200.jp2,19TCG855200\19TCG855200.jp2,19TCG825185\19TCG825185.jp2,19TCG840185\19TCG840185.jp2,19TCG855185\19TCG855185.jp2
mufs190-1951-dpl2k5-i001-001.tif,19TCG825185\19TCG825185.jp2,19TCG840185\19TCG840185.jp2,19TCG855185\19TCG855185.jp2,19TCG825170\19TCG825170.jp2,19TCG840170\19TCG840170.jp2,19TCG855170\19TCG855170.jp2,19TCG825155\19TCG825155.jp2,19TCG840155\19TCG840155.jp2,19TCG855155\19TCG855155.jp2
mufs190-1951-dpl2k6-i001-001.tif,19TCG825170\19TCG825170.jp2,19TCG840170\19TCG840170.jp2,19TCG855170\19TCG855170.jp2,19TCG810155\19TCG810155.jp2,19TCG825155\19TCG825155.jp2,19TCG840155\19TCG840155.jp2,19TCG810140\19TCG810140.jp2,19TCG825140\19TCG825140.jp2,19TCG840140\19TCG840140.jp2
mufs190-1951-dpl2k7-i001-001.tif,19TCG810155\19TCG810155.jp2,19TCG825155\19TCG825155.jp2,19TCG840155\19TCG840155.jp2,19TCG810140\19TCG810140.jp2,19TCG825140\19TCG825140.jp2,19TCG840140\19TCG840140.jp2,19TCG810125\19TCG810125.jp2,19TCG825125\19TCG825125.jp2,19TCG840125\19TCG840125.jp2
mufs190-1951-dpl2k8-i001-001.tif,19TCG825125\19TCG825125.jp2,19TCG840125\19TCG840125.jp2,19TCG855125\19TCG855125.jp2,19TCG825110\19TCG825110.jp2,19TCG840110\19TCG840110.jp2,19TCG855110\19TCG855110.jp2,19TCG825095\19TCG825095.jp2,19TCG840095\19TCG840095.jp2,19TCG855095\19TCG855095.jp2
mufs190-1951-dpl2k9-i001-001.tif,19TCG825110\19TCG825110.jp2,19TCG840110\19TCG840110.jp2,19TCG855110\19TCG855110.jp2,19TCG825095\19TCG825095.jp2,19TCG840095\19TCG840095.jp2,19TCG855095\19TCG855095.jp2,19TCG825080\19TCG825080.jp2,19TCG840080\19TCG840080.jp2,19TCG855080\19TCG855080.jp2
mufs190-1951-dpl2k10-i001-001.tif,19TCG825095\19TCG825095.jp2,19TCG840095\19TCG840095.jp2,19TCG855095\19TCG855095.jp2,19TCG825080\19TCG825080.jp2,19TCG840080\19TCG840080.jp2,19TCG855080\19TCG855080.jp2,19TCG825065\19TCG825065.jp2,19TCG840065\19TCG840065.jp2,19TCG855065\19TCG855065.jp2
