Filename,Coord X,Coord Y,GeoReferenced,Annotated
mufs190-1952-dpb3h110-i001-001.tif,131094.2207,887636.3157,1,0.0
mufs190-1952-dpb3h111-i001-001.tif,131094.2207,889543.4362,1,2.0
mufs190-1952-dpb3h155-i001-001.tif,128168.1644,883004.9583,1,2.0
mufs190-1952-dpb3h156-i001-001.tif,128125.831,884909.9621,1,0.0
mufs190-1952-dpb3h157-i001-001.tif,128358.6648,886158.7979,1,0.0
mufs190-1952-dpb3h158-i001-001.tif,128295.1647,887957.9682,1,0.0
mufs190-1952-dpb3h159-i001-001.tif,128019.9974,889977.2722,1,2.0
mufs190-1952-dpb3h160-i001-001.tif,127871.8305,891903.4427,1,0.0
mufs190-1952-dpb3h161-i001-001.tif,127723.6635,893575.6127,1,2.0
mufs190-1952-dpb3h162-i001-001.tif,127765.9969,895459.4498,1,0.0
mufs190-1952-dpb3h163-i001-001.tif,127871.8305,897025.7863,1,2.0
mufs190-1952-dpb3h164-i001-001.tif,127829.4971,898824.9566,1,0.0
mufs190-1952-dpb4h110-i001-001.tif,121901.4533,897826.9886,1,0.0
mufs190-1952-dpb4h112-i001-001.tif,121583.9527,894101.6478,1,0.0
mufs190-1952-dpb4h113-i001-001.tif,121626.2861,892653.8449,1,2.0
mufs190-1952-dpb4h114-i001-001.tif,121520.4525,890431.3404,1,0.0
mufs190-1952-cxi5h79-i001-001.tif,112834.3809,942427.2565,1,0.0
mufs190-1952-cxi5h80-i001-001.tif,112770.8808,940797.4199,1,2.0
mufs190-1952-cxi5h81-i001-001.tif,112876.7144,939146.4166,1,0.0
mufs190-1952-cxi5h82-i001-001.tif,112538.047,937601.2468,1,2.0
mufs190-1952-cxi5h83-i001-001.tif,112559.2137,935823.2433,1,0.0
mufs190-1952-cxi5h84-i001-001.tif,112601.5471,934235.7401,1,2.0
mufs190-1952-cxi6h33-i001-001.tif,116009.1227,942848.2094,1,0.0
mufs190-1952-cxi6h34-i001-001.tif,116009.1227,941430.0399,1,2.0
mufs190-1952-cxi6h35-i001-001.tif,116136.123,940054.2038,1,0.0
mufs190-1952-cxi6h36-i001-001.tif,116157.2897,938551.3675,1,2.0
mufs190-1952-cxi6h37-i001-001.tif,116093.7895,936625.197,1,0.0
mufs190-1952-cxi6h38-i001-001.tif,116072.6228,935080.0272,1,2.0
mufs190-1952-cxi7h144-i001-001.tif,110386.2394,943440.3227,1,0.0
mufs190-1952-cxi7h145-i001-001.tif,110335.9473,941948.3237,1,2.0
mufs190-1951-dpl2k73-i001-001.tif,279639.2411,837711.0087,1,0.0
mufs190-1951-dpl2k74-i001-001.tif,279702.7412,835996.5053,1,2.0
mufs190-1951-dpl2k75-i001-001.tif,279660.4078,834112.6682,1,0.0
mufs190-1951-dpl2k76-i001-001.tif,279850.9082,833011.9993,1,2.0
mufs190-1951-dpl2k100-i001-001.tif,276697.0685,830768.3282,1,2.0
mufs190-1951-dpl2k101-i001-001.tif,277014.5692,833202.4997,1,0.0
mufs190-1951-dpl2k102-i001-001.tif,276697.0685,834472.5022,1,2.0
mufs190-1951-dpl2k129-i001-001.tif,273924.2297,833414.1668,1,0.0
mufs190-1951-dpl2k130-i001-001.tif,273818.3961,831593.8298,1,2.0
mufs190-1951-dpl2k131-i001-001.tif,273691.3959,829604.1592,1,0.0
mufs190-1951-dpl2k132-i001-001.tif,273606.729,827783.8222,1,2.0
mufs190-1951-dpl2k133-i001-001.tif,273712.5626,826069.3188,1,0.0
mufs190-1951-dpl2k134-i001-001.tif,273860.7295,825010.9833,1,2.0
mufs190-1952-cni3h8-i001-001.tif,136994.6984,871856.6524,1,2.0
mufs190-1952-cni3h9-i001-001.tif,137078.5185,873700.6961,1,0.0
mufs190-1952-cni4h39-i001-001.tif,140317.025,877967.9977,1,0.0
mufs190-1952-cni4h40-i001-001.tif,140084.1912,876084.1606,1,2.0
mufs190-1952-cni4h41-i001-001.tif,139470.3566,873903.9896,1,0.0
mufs190-1952-cni4h42-i001-001.tif,139639.6903,872189.4862,1,2.0
mufs190-1952-cni4h58-i001-001.tif,143656.4226,871828.4456,1,2.0
mufs190-1952-cni4h59-i001-001.tif,143423.5888,874232.9838,1,2.0
mufs190-1952-cni4h60-i001-001.tif,143592.9225,875799.3202,1,0.0
mufs190-1952-cni4h61-i001-001.tif,143423.5888,877175.1563,1,2.0
mufs190-1952-cni4h85-i001-001.tif,146162.6932,878046.2987,1,2.0
mufs190-1952-cni4h86-i001-001.tif,146078.0264,876162.4616,1,0.0
mufs190-1952-cni4h87-i001-001.tif,146099.1931,874405.6247,1,2.0
mufs190-1952-cni4h88-i001-001.tif,146205.0267,872902.7884,1,0.0
mufs190-1952-dpv1k65-i001-001.tif,139512.6901,879534.3342,1,0.0
mufs190-1952-dpv1k142-i001-001.tif,142820.3376,878429.813,1,0.0
mufs190-1952-cni6h72-i001-001.tif,115319.6489,884903.5251,1,0.0
mufs190-1952-cni6h73-i001-001.tif,115554.3454,883227.1217,1,0.0
mufs190-1952-cni6h74-i001-001.tif,115619.3695,881463.6978,1,2.0
mufs190-1952-cni6h75-i001-001.tif,115534.7027,880172.5286,1,0.0
mufs190-1952-cni6h99-i001-001.tif,112194.088,879008.6213,1,0.0
mufs190-1952-cni6h100-i001-001.tif,112469.2552,880850.125,1,2.0
mufs190-1952-cni6h101-i001-001.tif,112469.2552,882479.9616,1,0.0
mufs190-1952-cni6h102-i001-001.tif,112596.2555,884236.7984,1,0.0
mufs190-1952-cni6h128-i001-001.tif,109381.5615,882587.9118,1,2.0
mufs190-1952-cni6h129-i001-001.tif,109212.2279,880915.7418,1,0.0
mufs190-1952-cni6h130-i001-001.tif,109339.2281,879324.0053,1,2.0
mufs190-1952-cni6h131-i001-001.tif,109148.7277,877884.6691,1,0.0
mufs190-1952-dpl3k25-i001-001.tif,311327.0205,828706.0546,1,0.0
mufs190-1952-dpl3k26-i001-001.tif,311390.5206,830611.0584,1,2.0
mufs190-1952-dpl3k27-i001-001.tif,311327.0205,832494.8955,1,0.0
mufs190-1952-dpl3k28-i001-001.tif,311200.0202,834040.0653,1,2.0
mufs190-1952-dpl3k29-i001-001.tif,311602.1877,835267.7344,1,0.0
mufs190-1952-cni4h136-i001-001.tif,118908.4806,864440.9861,1,0.0
mufs190-1952-cni4h137-i001-001.tif,118372.0316,866117.3895,1,2.0
